pathway	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
PWY-6731	138.21498714797656	187.32445878421902	221.44885404191808	325.9239685888938	92.971502131277	265.56119975654116	0.0	24.103164916506376	409.82890321963134	273.6755307351907	76.77707366778166	166.50450969702024	47.07353592030224	39.76240461067976	61.79446254996686	35.585946942805506	54.252299676679115	75.90258315227375	93.05017738882215	154.22511849245464	141.73125461159398
PWY-6737	35584.435766027294	33521.955500880125	28543.615389337123	28882.941074443672	34060.195544214446	31837.234108250195	5260.127696030972	15302.935512002672	20144.929299154446	26075.60322716256	26073.851453730178	31935.94772328033	47867.42523167885	33627.80773817822	27005.481838542823	27197.781752229763	21823.87953705588	38209.20753575302	22194.212394879938	46808.08936675888	46872.95110336327
PWY-6749	11238.864063575335	12141.175653073096	6866.326375190091	8477.455261908683	11772.728958308053	9168.283323943097	1226.0849216410445	4620.461041587261	3291.4331231298247	6051.01458329176	4800.419225375487	4116.013082719371	12991.661333092565	9651.169108791328	7383.310680913018	5448.696024134119	4457.159405317588	7548.024335990274	4695.3784076631155	10279.66143655447	10150.56934205505
PWY-6830	0.0	0.0	6.588967784280817	23.04866613834957	0.0	0.0	0.0	0.0	0.0	2.224625166760949	0.0	23.17207362782899	6.9174669906809925	3.331026410459121	6.622968066921697	6.621389622152845	0.0	0.0	0.0	7.634448760102128	6.876283172935524
PWY-6876	3193.4106709753114	2717.6400476152944	2097.1914206426554	2203.9917797926537	3111.405707771724	2793.0980185517037	272.85971323569805	1359.8181633970898	1341.0945664324224	2133.6859508419525	2911.198774228961	3939.597946442459	3243.6736200828113	2459.3020987712703	1772.6346514383492	1249.821792779086	1211.5734905283125	2249.624568564998	2073.6409456937276	4077.0297638870707	3801.672115414003
PWY-6891	7625.119605229277	7410.696878524553	9718.118657091758	12134.86415446937	5146.571150683394	10132.768806016942	2671.2889121680228	3603.635184968144	6711.129248063306	6244.213891717621	2879.6431269384684	6605.4072309054545	8440.650486914521	6307.899939686922	4663.765870205359	6585.4828857817165	5334.591501258768	10551.719277302758	1818.6842722885303	3551.770079456113	4006.5629705762685
PWY-6892	10578.376466720953	8252.337708046392	8175.557922938118	9621.49559006931	7940.125132750747	8631.792965782459	1597.0386073603227	2416.9069096412436	4399.126057138802	6537.471100693513	6485.734890317886	11902.339342309875	24557.264968798532	15945.291977318637	13065.018732141296	14071.482820500734	10666.566935297127	20181.31030674251	10787.310045503393	23325.090897925107	22738.303764645807
PWY-6895	24593.149653225257	24075.486340725944	26410.982448901035	29286.360464847687	18698.633940354328	28396.06847867843	5904.980757707344	11507.704754619721	18519.20176847628	19531.54687165792	11241.306641181718	21367.126997262967	28366.630719353037	20915.56898133677	15819.450238262072	19700.524157001506	15963.03201116002	29876.23420687697	7455.062074125487	14729.591727163832	16241.772729771263
PWY-6897	56733.643426518516	57035.259767207855	47768.08259665978	46604.41217542606	57228.32764881393	53500.86656603916	9070.512977810247	26496.856398439802	35299.07280364636	43539.270839215584	44437.907533638994	51057.67841830704	70934.0958720236	51107.81563195476	40507.70728435135	40706.223220676075	33107.55552451371	57319.729286349124	34119.38655011764	71155.26263731737	70863.36688916743
PWY-6901	34561.810757331616	31709.423684690577	30678.464827555046	28345.79667138022	31673.978271570595	35287.947939023616	6795.597461751704	14718.691706881651	22741.804309114705	27392.687961764157	26638.6582979101	35421.413616776044	44003.52404721471	31083.601141154926	25011.22671836254	26895.39906573624	21670.752245923555	38768.18858027181	18418.904193244267	38789.93719934537	38953.77483161082
