OTUID	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae	388.0	162.0	126.0	190.0	98.0	354.0	54.0	72.0	300.0	164.0	114.0	231.0	157.0	104.0	69.0	170.0	125.0	308.0	151.0	397.0	331.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae	134.0	51.0	75.0	43.0	110.0	119.0	1.0	39.0	83.0	119.0	249.0	355.0	109.0	83.0	96.0	42.0	49.0	74.0	93.0	191.0	176.0
d__Bacteria;p__Chloroflexi;c__TK10;o__TK10;f__TK10	164.0	356.0	64.0	153.0	451.0	133.0	21.0	122.0	121.0	120.0	377.0	377.0	160.0	167.0	151.0	69.0	78.0	101.0	159.0	475.0	458.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__uncultured	64.0	34.0	13.0	21.0	51.0	20.0	1.0	54.0	21.0	26.0	58.0	27.0	37.0	35.0	33.0	24.0	33.0	34.0	43.0	64.0	71.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae	295.0	147.0	198.0	149.0	172.0	271.0	9.0	110.0	172.0	263.0	525.0	588.0	221.0	209.0	140.0	98.0	176.0	281.0	187.0	356.0	311.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae	126.0	115.0	61.0	29.0	131.0	133.0	10.0	79.0	32.0	68.0	110.0	91.0	164.0	106.0	93.0	54.0	42.0	82.0	72.0	137.0	122.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	24.0	54.0	66.0	92.0	47.0	95.0	22.0	30.0	60.0	77.0	26.0	53.0	352.0	247.0	209.0	459.0	331.0	718.0	261.0	394.0	458.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae	1004.0	1360.0	612.0	649.0	954.0	937.0	25.0	577.0	301.0	516.0	189.0	247.0	569.0	385.0	325.0	251.0	199.0	354.0	127.0	294.0	316.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	40.0	42.0	53.0	43.0	42.0	56.0	10.0	10.0	19.0	12.0	26.0	47.0	97.0	59.0	46.0	75.0	69.0	110.0	38.0	67.0	77.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__uncultured	62.0	137.0	96.0	9.0	205.0	112.0	55.0	78.0	47.0	103.0	211.0	87.0	91.0	88.0	50.0	68.0	52.0	78.0	92.0	85.0	179.0
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae	48.0	61.0	1.0	9.0	16.0	1.0	1.0	127.0	79.0	115.0	199.0	161.0	136.0	75.0	72.0	85.0	86.0	131.0	71.0	189.0	205.0
