,0
b506bfdf3a8d71e7bdf6036c8dd7ef92,1139.0
7d0fe2a7c5e16b08fe21b0a389769dda,1138.0
095948bf1d6b410fa35b71d9b8ba1f02,1137.0
90d798864e1b7b7d9ce41e8f8a55da98,1135.0
028cd29bf40366f61ee8dda301cc5464,1134.0
5d869d0708e0a56a7eb3d1ba526ff658,1130.0
524e0fcb4a2c8a431e2bd988d7030167,1129.0
cc5d094b6dc7f603d58a4ef1d727c463,1126.0
22bd3754886c2678f92106d5900183ae,1121.0
cd36aa422dab33a86ce337d1453a66b3,1119.0
1b21d0d8491619c8ead751d4ad411acc,1104.0
58f01d29ab683d13f0a204fdd9c33682,1103.0
f5d38ad7b3ed8d9b89ed4dcf9e3c8fc4,1100.0
f6fd7bdb977cd5bc263d2319fef81af3,1099.0
1b316978302ac179e769967c309cc9cb,1073.0
6fb26d1e572fdd6fd47e454b04dbad89,1071.0
585a8bd1ea95c3ae3fa7cf5ec415e807,1071.0
7e146ad07ed02db3b6c9a6ea57bc7485,1063.0
4f9ec8f9ac2b22550fd4953a4a69f28e,1057.0
de45e38c9b6c6816e54ec33d69e14437,1051.0
11ea1846a849422a56bd36269c9d1e3e,1045.0
ec68232bdc68e28dd6098e9d2a659535,1044.0
0a8a0b28836662936c0d570f256f406d,1026.0
ff2faa1b4cc70f23a238bab89aa0fd6f,1026.0
838b2417eb817dd61fe0cfb4253dd036,1016.0
ecbff9a653c03fdd26e09a7208e51569,1011.0
306945e3308b6fd2be96f1a40cc5c63a,1010.0
7710a7b977e382fedd77e806d334b734,1008.0
77472544f3c3bfa06d1aa8ebe0f52045,1007.0
635d657721154726f26a2bdb62c4415f,1005.0
98b81116e5ab0d110b6291b9a9b0f5f2,1004.0
4eeb6c4f5c1db581b63187990a34df84,1003.0
78c5404a5e9652a33f7ffff630bd4019,1002.0
459c8d96cd0e82b1b3f5a67072f6a806,1002.0
f31c32ffc9ef334be621d0990d4e9628,1001.0
e9bd2b3cab8c0e10ce54c183b47e7a4e,993.0
91de1860bbf138149e8fb666e20b46f5,993.0
761215ed651e302f869d75b40290e2b6,983.0
209eaa7f510c46cf93b77893a5107e84,975.0
d025cc4f08bc439b6fcbc9b288107de3,966.0
9d6d249893a2daf949a6865cdfd740d7,964.0
7a909d55a07b25f89fef2ca40a0ec114,962.0
116b22d946362d469ebeda41c38ec53e,959.0
3213f61fa409d3d017f2ffe650710a4b,959.0
2eb1e476a0df5d17e63d6516f17da9cc,955.0
48fa29dd60d0e3d3d2405211bf5d4f1b,954.0
8c065caf1ff1e9e02e34e4371fc9b113,953.0
243627fbc28f1be213ce73000b78a0c7,952.0
7c5bba6788a10b7291844df8e192046a,950.0
f05b5d27f732688b470bb4cdbdb0014b,949.0
bf6d6ec0cd85ffa537fc8def0dd5c8a5,949.0
338db647f922fa6ccdba152e48cb3061,948.0
d8b314ebc934c3bf36007650ec136713,941.0
630fa34d1b34d3c108bb02265e2e5039,940.0
c613627074d353d769819ad3c9f91fa9,935.0
8e797b9573b38e1f17f90ea59c964fc3,933.0
6438ced2004ccf4f6987b43839f79fdd,930.0
5e6e6d26f01bb67545b294308c368285,924.0
9916586e9b21879a236840d4d30f6b8b,917.0
3c4956cb0469bd4b6394b677db8b60c0,912.0
5f1ee3b01d8f0e183c0e4030ec1592b7,912.0
818aa267c5caef248447461f7d52ed40,911.0
bd1df83bb669ed1246f0a61cff6d11cb,910.0
f7201f4a195a20086966cff73c4b96de,909.0
7ae15e24e0e1147c22e2bd1e85f67f84,907.0
1a1f4889b17e2877981d775c023b58ba,905.0
5970e4d93b1449b5b10439b076b7242d,903.0
9ea6cadcf1d5ff9af82520a05f13d450,903.0
d1945bcb3dbee2ffa053a0370fba3ef0,900.0
fdd7773d8052f421733d0458e2508e99,897.0
c7fa3144a2d1b93aeef64caef5a2a9b0,889.0
bbf016c10c84ecf1e00446d11b1ad160,887.0
72c43fbe19297b4bc930ea0dbd919c10,885.0
8fe97eefbb1a6d40f817d6d3a5bb21a8,881.0
a7796e3c68a1edca0b28d12189ce4f55,880.0
1d95ad928ecfbe70bee1d2248691f2fb,879.0
23f9be3025f76661ba5938504cdc49fb,877.0
db1d443b718ee104e93e8d16abdaa127,876.0
12df9124f21a7ccdcbdd98e9480a0563,874.0
0ecc2c7ade8d7e9ecf6c8abf4aec7061,872.0
5d1fe2fea9a3d002da6929a081332aef,868.0
6c0fbdc9ea6848bc5bbcd7e39c830329,868.0
ebd71ddff68fad8169d26bbe13040f6a,868.0
97b106c83f3c03c03d427b1a054a9442,866.0
e549d964ca2ad10f2bc2daeb2fd9d80d,864.0
b8de1aecfb5f81930e9f947c2840d2c3,858.0
daf5358b6f258edcac89bbb76eca7a16,854.0
9d6980b455815ef9683f1efd7cf47ea3,854.0
df3f172ec9325bc25ba9f5f9e1550e4b,853.0
d39ae182e48ff00ffdc0d45f25d668e5,851.0
85a3728fd0c19c47ac0add2ed4669414,849.0
e4bc2fa8dea6108c3fed89cd79a15cf4,848.0
ca803479920687c5708d0329062afc3d,845.0
7add202febefffa2b24c27f22bbb7b25,842.0
5d71e6d76f8239468b83b8136f3d263f,840.0
e9e3ffa6d362e9875c54b0d2460d9591,837.0
9e5b7089538430e302cf58e0baad91a4,834.0
6415091884dc6ce5b18ad618822b2635,828.0
9b5bd6a4202a00f1185d7137c1fc1a70,826.0
9ee0c2b03d0147fed490acbf826e02a9,825.0
150eba2f265b6f9f5ae2ff95ba52df3b,819.0
61fe2fcf9b6a1dab4df7e633250d7b8a,817.0
229c5254768604629591b344fdda0ad9,813.0
5833472ff3bb3a004f98d60b69f7a3f5,811.0
f0f0c1850fe741766c614fea336a7147,806.0
49a5d05fdaf58bf80ad699d8783eac33,806.0
ee24850c46f6fa04ac99a976dc7ebb4d,804.0
795e59dcaa5efac1d782be08826607e1,800.0
c174e104a8460c2747e2658ba0fa7dd1,799.0
37771abeae1fdaa8a4f5fd4e6db6bcfa,799.0
46daf50efba84dd609fac9017b64b757,793.0
5af10f85c2544cde8887a96c5e739125,792.0
dc5153119fa4514d2f21d5a6454bde4d,792.0
7db7926e0f305ef1540f9954acdc8312,786.0
2b48fcaa75a7263960669a790a900a2a,786.0
632fb53c66a48ac3a9702a1becfad2e7,785.0
